         33627699 function calls (33627695 primitive calls) in 31.206 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   16.259   16.259   20.483   20.483 noaa_decode.py:87(gen_bitstream)
        1    6.644    6.644   10.167   10.167 noaa_decode.py:41(manchester_decode_nebarnix)
 14290023    6.001    0.000    6.380    0.000 _tqdm.py:1000(update)
 10714829    0.871    0.000    0.871    0.000 {method 'append' of 'bitarray._bitarray' objects}
  7201448    0.490    0.000    0.490    0.000 {built-in method builtins.abs}
     5021    0.222    0.000    0.222    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.156    0.156   31.185   31.185 noaa_decode.py:169(main)
   384405    0.109    0.000    0.109    0.000 noaa_decode.py:332(<genexpr>)
        2    0.075    0.037    0.075    0.037 {method 'search' of 'bitarray._bitarray' objects}
   870203    0.062    0.000    0.062    0.000 {built-in method time.time}
     3662    0.038    0.000    0.147    0.000 {method 'join' of 'str' objects}
     1896    0.034    0.000    0.034    0.000 socket.py:334(send)
        1    0.030    0.030    0.030    0.030 {built-in method numpy.core.multiarray.fromfile}
     4063    0.029    0.000    0.033    0.000 noaa_decode.py:136(party_check)
        1    0.024    0.024    0.024    0.024 {built-in method numpy.core.multiarray.arange}
        1    0.017    0.017    0.041    0.041 function_base.py:25(linspace)
        1    0.016    0.016   31.201   31.201 noaa_decode.py:14(<module>)
     3661    0.015    0.000    0.025    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3661    0.008    0.000    0.008    0.000 {built-in method _codecs.charmap_encode}
     1896    0.006    0.000    0.047    0.000 iostream.py:195(schedule)
     2375    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
      298    0.005    0.000    0.019    0.000 _tqdm.py:198(format_meter)
    61682    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      626    0.005    0.000    0.232    0.000 threading.py:533(wait)
      623    0.005    0.000    0.265    0.000 iostream.py:334(flush)
      629    0.004    0.000    0.004    0.000 threading.py:215(__init__)
     2519    0.004    0.000    0.007    0.000 threading.py:1104(is_alive)
      624    0.004    0.000    0.226    0.000 threading.py:263(wait)
     1253    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
