         7726757 function calls (7726754 primitive calls) in 6.039 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.887    4.887    5.383    5.383 noaa_decode.py:41(manchester_decode_nebarnix)
  7197732    0.429    0.000    0.429    0.000 {built-in method builtins.abs}
        1    0.160    0.160    6.015    6.015 noaa_decode.py:178(main)
        2    0.122    0.061    0.122    0.061 {method 'search' of 'bitarray._bitarray' objects}
   384405    0.110    0.000    0.110    0.000 noaa_decode.py:341(<genexpr>)
     1126    0.051    0.000    0.051    0.000 {method 'acquire' of '_thread.lock' objects}
     3662    0.038    0.000    0.148    0.000 {method 'join' of 'str' objects}
     4063    0.034    0.000    0.038    0.000 noaa_decode.py:145(party_check)
        1    0.030    0.030    0.030    0.030 {built-in method numpy.core.multiarray.fromfile}
        1    0.028    0.028    0.028    0.028 {built-in method numpy.core.multiarray.arange}
        1    0.018    0.018    6.033    6.033 noaa_decode.py:14(<module>)
        1    0.018    0.018    0.046    0.046 function_base.py:25(linspace)
        1    0.016    0.016    0.028    0.028 noaa_decode.py:104(gen_bitstream_v2)
     3661    0.015    0.000    0.025    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    10804    0.013    0.000    0.063    0.000 _tqdm.py:1000(update)
        1    0.012    0.012    0.012    0.012 {built-in method numpy.core.multiarray.packbits}
     3661    0.009    0.000    0.009    0.000 {built-in method _codecs.charmap_encode}
      434    0.006    0.000    0.006    0.000 socket.py:334(send)
    61683    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    22979    0.004    0.000    0.004    0.000 {method 'count' of 'bitarray._bitarray' objects}
        4    0.004    0.001    0.004    0.001 {built-in method io.open}
        1    0.003    0.003    0.003    0.003 {built-in method builtins.compile}
     3661    0.002    0.000    0.010    0.000 cp1252.py:18(encode)
      434    0.001    0.000    0.009    0.000 iostream.py:195(schedule)
      138    0.001    0.000    0.054    0.000 threading.py:533(wait)
     4063    0.001    0.000    0.001    0.000 {method 'to01' of 'bitarray._bitarray' objects}
       55    0.001    0.000    0.003    0.000 _tqdm.py:198(format_meter)
      140    0.001    0.000    0.001    0.000 threading.py:215(__init__)
      434    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      136    0.001    0.000    0.059    0.000 iostream.py:334(flush)
      570    0.001    0.000    0.002    0.000 threading.py:1104(is_alive)
      138    0.001    0.000    0.052    0.000 threading.py:263(wait)
      278    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     4061    0.001    0.000    0.001    0.000 {method 'invert' of 'bitarray._bitarray' objects}
        2    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     3880    0.001    0.000    0.001    0.000 {built-in method time.time}
       83    0.001    0.000    0.052    0.001 ansitowin32.py:172(write_plain_text)
       18    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.array}
       81    0.001    0.000    0.007    0.000 iostream.py:382(write)
       83    0.001    0.000    0.054    0.001 ansitowin32.py:139(write)
     3661    0.001    0.000    0.001    0.000 {method 'tobytes' of 'bitarray._bitarray' objects}
        1    0.001    0.001    0.002    0.002 stats.py:386(mode)
       55    0.001    0.000    0.050    0.001 _tqdm.py:185(fp_write)
       83    0.000    0.000    0.053    0.001 ansitowin32.py:156(write_and_convert)
       83    0.000    0.000    0.001    0.000 ansitowin32.py:224(convert_osc)
      216    0.000    0.000    0.001    0.000 _tqdm.py:123(format_sizeof)
     4064    0.000    0.000    0.000    0.000 {method 'length' of 'bitarray._bitarray' objects}
       13    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      434    0.000    0.000    0.000    0.000 iostream.py:93(_event_pipe)
       61    0.000    0.000    0.001    0.000 _tqdm.py:101(release)
       55    0.000    0.000    0.004    0.000 _tqdm.py:891(__repr__)
      572    0.000    0.000    0.001    0.000 threading.py:1062(_wait_for_tstate_lock)
      166    0.000    0.000    0.000    0.000 {method 'finditer' of '_sre.SRE_Pattern' objects}
      140    0.000    0.000    0.002    0.000 threading.py:498(__init__)
       55    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       55    0.000    0.000    0.050    0.001 _tqdm.py:191(print_status)
      108    0.000    0.000    0.001    0.000 _tqdm.py:153(format_interval)
       61    0.000    0.000    0.001    0.000 _tqdm.py:97(acquire)
