         15317483 function calls (15317479 primitive calls) in 22.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.013    0.001 {built-in method builtins.print}
      472    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        3    0.000    0.000    0.005    0.002 _tqdm.py:647(__init__)
        2    0.000    0.000    0.000    0.000 function_base.py:1079(diff)
        6    0.000    0.000    0.005    0.001 _tqdm.py:1083(close)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      269    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000   22.718   22.718 interactiveshell.py:2481(safe_execfile)
        3    0.000    0.000    0.001    0.000 _tqdm.py:403(__new__)
        3    0.000    0.000    0.001    0.000 _tqdm.py:433(_decr_instances)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
      2/1    0.000    0.000   22.718   22.718 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.001    0.000 _monitor.py:32(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:757(__init__)
       13    0.000    0.000    0.000    0.000 fromnumeric.py:64(_wrapreduction)
        3    0.000    0.000    0.000    0.000 _tqdm.py:426(_get_free_pos)
        3    0.000    0.000    0.000    0.000 _utils.py:144(_is_utf)
       13    0.000    0.000    0.000    0.000 fromnumeric.py:1821(sum)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 threading.py:334(notify)
        1    0.000    0.000    0.000    0.000 arraysetops.py:268(_unique1d)
        3    0.000    0.000    0.000    0.000 threading.py:1024(join)
        6    0.000    0.000    0.001    0.000 _tqdm.py:1102(fp_write)
        1    0.000    0.000    0.000    0.000 stats.py:228(_contains_nan)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.where}
       12    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        3    0.000    0.000    0.001    0.000 threading.py:828(start)
       10    0.000    0.000    0.000    0.000 shape_base.py:480(expand_dims)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        3    0.000    0.000    0.000    0.000 _monitor.py:50(exit)
        3    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 syspathcontext.py:55(__exit__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
        6    0.000    0.000    0.000    0.000 ansitowin32.py:36(__getattr__)
       15    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 _utils.py:158(_supports_unicode)
