         7755934 function calls (7755930 primitive calls) in 18.808 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   12.778   12.778   12.912   12.912 noaa_decode.py:87(gen_bitstream)
        1    4.805    4.805    5.294    5.294 noaa_decode.py:41(manchester_decode_nebarnix)
  7199718    0.427    0.000    0.427    0.000 {built-in method builtins.abs}
        2    0.142    0.071    0.142    0.071 {method 'search' of 'bitarray._bitarray' objects}
        1    0.133    0.133   18.787   18.787 noaa_decode.py:169(main)
     3165    0.123    0.000    0.123    0.000 {method 'acquire' of '_thread.lock' objects}
   384405    0.112    0.000    0.112    0.000 noaa_decode.py:332(<genexpr>)
     3662    0.039    0.000    0.151    0.000 {method 'join' of 'str' objects}
        1    0.030    0.030    0.030    0.030 {built-in method numpy.core.multiarray.fromfile}
    17948    0.028    0.000    0.191    0.000 _tqdm.py:1000(update)
     4063    0.026    0.000    0.029    0.000 noaa_decode.py:136(party_check)
        1    0.023    0.023    0.023    0.023 {built-in method numpy.core.multiarray.arange}
        1    0.019    0.019   18.806   18.806 noaa_decode.py:14(<module>)
     1200    0.017    0.000    0.017    0.000 socket.py:334(send)
        1    0.016    0.016    0.038    0.038 function_base.py:25(linspace)
     3661    0.015    0.000    0.026    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3661    0.009    0.000    0.009    0.000 {built-in method _codecs.charmap_encode}
    61682    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     1200    0.003    0.000    0.024    0.000 iostream.py:195(schedule)
     1444    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      182    0.003    0.000    0.010    0.000 _tqdm.py:198(format_meter)
    22979    0.003    0.000    0.003    0.000 {method 'count' of 'bitarray._bitarray' objects}
      394    0.003    0.000    0.129    0.000 threading.py:533(wait)
      397    0.002    0.000    0.002    0.000 threading.py:215(__init__)
      391    0.002    0.000    0.144    0.000 iostream.py:334(flush)
        4    0.002    0.001    0.002    0.001 {built-in method io.open}
     1591    0.002    0.000    0.004    0.000 threading.py:1104(is_alive)
      392    0.002    0.000    0.125    0.000 threading.py:263(wait)
      789    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
     3661    0.002    0.000    0.011    0.000 cp1252.py:18(encode)
      212    0.002    0.000    0.119    0.001 ansitowin32.py:172(write_plain_text)
      721    0.001    0.000    0.003    0.000 _tqdm.py:123(format_sizeof)
      182    0.001    0.000    0.151    0.001 _tqdm.py:185(fp_write)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
      209    0.001    0.000    0.019    0.000 iostream.py:382(write)
      182    0.001    0.000    0.011    0.000 _tqdm.py:891(__repr__)
      212    0.001    0.000    0.002    0.000 ansitowin32.py:224(convert_osc)
      212    0.001    0.000    0.122    0.001 ansitowin32.py:156(write_and_convert)
     4584    0.001    0.000    0.001    0.000 {built-in method time.time}
      191    0.001    0.000    0.001    0.000 _tqdm.py:101(release)
     1200    0.001    0.000    0.001    0.000 iostream.py:93(_event_pipe)
      360    0.001    0.000    0.002    0.000 _tqdm.py:153(format_interval)
      191    0.001    0.000    0.002    0.000 _tqdm.py:97(acquire)
     1594    0.001    0.000    0.002    0.000 threading.py:1062(_wait_for_tstate_lock)
      397    0.001    0.000    0.005    0.000 threading.py:498(__init__)
      182    0.001    0.000    0.152    0.001 _tqdm.py:191(print_status)
      181    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     4061    0.001    0.000    0.001    0.000 {method 'invert' of 'bitarray._bitarray' objects}
      191    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      424    0.001    0.000    0.001    0.000 {method 'finditer' of '_sre.SRE_Pattern' objects}
       18    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.array}
     4063    0.001    0.000    0.001    0.000 {method 'to01' of 'bitarray._bitarray' objects}
        1    0.001    0.001    0.001    0.001 stats.py:386(mode)
     3661    0.001    0.000    0.001    0.000 {method 'tobytes' of 'bitarray._bitarray' objects}
      212    0.001    0.000    0.123    0.001 ansitowin32.py:139(write)
      212    0.000    0.000    0.123    0.001 ansitowin32.py:39(write)
      209    0.000    0.000    0.001    0.000 iostream.py:307(_is_master_process)
      392    0.000    0.000    0.001    0.000 threading.py:251(_acquire_restore)
     4064    0.000    0.000    0.000    0.000 {method 'length' of 'bitarray._bitarray' objects}
      397    0.000    0.000    0.000    0.000 threading.py:242(__exit__)
      209    0.000    0.000    0.004    0.000 iostream.py:320(_schedule_flush)
      191    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      901    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      191    0.000    0.000    0.002    0.000 _tqdm.py:108(__exit__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      191    0.000    0.000    0.002    0.000 _tqdm.py:105(__enter__)
     1603    0.000    0.000    0.000    0.000 threading.py:506(is_set)
      547    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      397    0.000    0.000    0.000    0.000 threading.py:239(__enter__)
     1592    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      191    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      338    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      209    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
